fid,aspect,elv,flowAcc,lithology,planCurv,profCurv,riverProx,roadProx,slope,soil,SPI,TPI,TRI,TWI,xcoord,ycoord
100,27.6597099304199,33.021125793457,2.62916851043701,629,0.00373829994350672,0.00373829994350672,11943.052734375,19.1049728393555,2.69284796714783,9,-1.96828055381775,-0.407343685626984,0.963303744792938,8.10273742675781,3575131.39859367,672500.058363267
101,343.629364013672,1509.38647460938,2.18934178352356,547,-0.00142769294325262,-0.00142769294325262,3150,39.5600814819336,20.1303691864014,9,7.92348194122314,17.8174724578857,7.21753692626953,-0.634412944316864,3577916.56064908,558051.827675861
102,298.067474365234,144.660781860352,3.40322184562683,443,0.00615880684927106,0.00615880684927106,6403.7880859375,19.6468830108643,18.1649188995361,2,2.8492796421051,0.276886820793152,6.29788255691528,1.48995387554169,3545395.60533527,365388.5144495
103,172.320007324219,725.929321289062,1.01977825164795,490,0.0132226850837469,0.0132226850837469,3258.00537109375,11.1803398132324,4.46015214920044,8,-2.05049681663513,2.78598594665527,2.14822053909302,7.3245096206665,3478518.60758095,518117.760418488
104,162.573669433594,46.5368995666504,3.40055012702942,17,-0.00853260420262814,-0.00853260420262814,8063.80810546875,2.82842707633972,2.72222399711609,10,-3.32660698890686,-0.0844017267227173,0.948717534542084,8.05077648162842,3545589.23869372,347851.790235352
105,251.143218994141,338.378753662109,3.97247838973999,803,-0.0165766905993223,-0.0165766905993223,560.446228027344,32.7566795349121,6.1986780166626,9,-3.42945241928101,-2.45396304130554,2.40870118141174,8.31470203399658,3611279.56121786,614222.629805866
106,165.612808227539,541.65234375,3.31071734428406,53,0.00164966273587197,0.00164966273587197,729.931518554688,15.1327457427979,6.39312171936035,5,-0.991397202014923,0.610173404216766,2.1600034236908,8.1142463684082,3387844.02979801,548056.937401713
107,34.1729621887207,156.220581054688,5.01499366760254,785,0.0186942853033543,0.0186942853033543,8910.4541015625,48.6004104614258,1.51945912837982,9,-5.9768762588501,-1.83413195610046,0.780264973640442,8.45562839508057,3700413.35877343,563806.953511979
108,99.418342590332,634.000183105469,3.19733858108521,17,-0.0168050099164248,-0.0168050099164248,5790.07763671875,67.9779357910156,7.93446779251099,6,14.2546234130859,-11.4895830154419,2.71238732337952,0.305041432380676,3558429.81837533,462092.898514618
109,37.0933609008789,868.288818359375,15.1257591247559,232,-0.0104407276958227,-0.0104407276958227,21477.06640625,5,11.7878665924072,9,-14.9798889160156,-4.29353284835815,4.22160148620605,9.5775671005249,3510938.78965706,521240.080814893
110,116.248229980469,2193.2607421875,30.9737796783447,547,-0.00322341872379184,-0.00322341872379184,22176.576171875,26.0192241668701,5.31394529342651,2,-99.1311111450195,-4.25479030609131,2.08718299865723,10.6100931167603,3542835.7286015,535760.834482961
111,89.5235748291016,1939,26.8279857635498,547,-0.00630616908892989,-0.00630616908892989,9025.2646484375,28.2842712402344,7.8609356880188,9,26.2887382507324,-1.04924046993256,2.84696292877197,3.03557801246643,3521559.82221679,574394.010690578
112,18.1501884460449,1527.89123535156,8.54668617248535,785,-0.0158747900277376,-0.0158747900277376,4409.591796875,8.06225776672363,17.7738227844238,12,9.49032592773438,-7.87698936462402,7.16020727157593,2.2049617767334,3478154.20344027,560714.272614802
113,116.871925354004,1009.93780517578,3.85359525680542,434,-0.00559583120048046,-0.00559583120048046,10978.2373046875,4.4721360206604,22.0068969726562,9,10.7255411148071,-1.51177477836609,7.81516695022583,2.17442679405212,3551194.68467612,585106.809790913
114,143.154739379883,1189.66137695312,1.46602821350098,278,0.003564836923033,0.003564836923033,6860.82373046875,74.6324310302734,22.9454135894775,12,11.5048151016235,11.4397859573364,8.39178085327148,-1.55300581455231,3467083.45335995,472832.017640011
115,173.696273803711,17.46457862854,3.47920370101929,17,-0.00500643998384476,-0.00500643998384476,8633.5390625,10.6301460266113,5.75663995742798,16,-17.4876461029053,-2.10636329650879,1.93994498252869,8.71558475494385,3474181.12388633,409028.906484485
116,200.185699462891,170.496597290039,1.31607758998871,82,0.016871714964509,0.016871714964509,469.574279785156,30.0832176208496,4.08752489089966,16,1.70919072628021,2.36975169181824,1.50294053554535,0.155507534742355,3728161.18329594,508404.9898028
117,214.295959472656,900.591796875,3.47532176971436,278,0.00331315235234797,0.00331315235234797,3660.12280273438,87.2811584472656,27.0364360809326,12,2.50562787055969,-2.67003726959229,9.91842079162598,1.97022426128387,3387498.42118648,514371.592611914
118,338.873748779297,454.32177734375,1.66472542285919,686,0.0292131379246712,0.0292131379246712,1950,39.4461669921875,4.47109699249268,10,2.136714220047,5.75514364242554,1.95047187805176,0.629625558853149,3560303.34469986,630739.413216178
119,42.7973785400391,1043.46667480469,2.99555587768555,278,-0.00181869859807193,-0.00181869859807193,10762.9775390625,52.430908203125,27.8777484893799,5,1.59249687194824,3.20839881896973,10.9060592651367,1.75053775310516,3423959.55707948,482426.780251916
120,177.414611816406,656.896301269531,2.79982805252075,547,-0.00507418485358357,-0.00507418485358357,11451.240234375,70.9365921020508,16.9281406402588,9,3.72876167297363,1.70104813575745,5.90334844589233,0.591550886631012,3629935.87058419,520939.209520706
121,44.9314270019531,199.840606689453,2.4078381061554,785,-0.024730546399951,-0.024730546399951,9512.697265625,26.4764041900635,1.84352087974548,10,-0.773639798164368,2.5818932056427,0.651901662349701,7.73249959945679,3669964.14095482,577961.977417976
122,64.8406066894531,1415.17785644531,106.145721435547,53,-0.0165570378303528,-0.0165570378303528,13833.123046875,251.730010986328,14.9202070236206,8,-70.425163269043,-7.36258840560913,5.74076747894287,11.6480827331543,3446276.11185903,460655.976960766
123,285.380065917969,711.459533691406,13.9006032943726,110,-0.00721131032332778,-0.00721131032332778,30884.150390625,51.9711456298828,12.8106784820557,10,1.54637086391449,-6.7794337272644,4.61146211624146,5.00542402267456,3524759.32210748,396754.151499384
124,93.9247131347656,880.124755859375,3.77915287017822,547,0.000618974270764738,0.000618974270764738,11055.51953125,62.9682464599609,20.420783996582,16,9.24622535705566,7.01325607299805,7.45803546905518,0.409318596124649,3625350.4432547,590007.732355496
125,153.966125488281,710.700073242188,6.15064144134521,547,-0.001150056370534,-0.001150056370534,2496.49755859375,1,11.2732620239258,8,-13.5402364730835,-2.73712658882141,3.95187902450562,8.69448471069336,3611026.61908308,552086.31875339
126,336.022644042969,1194.67358398438,5.81372594833374,792,-0.000757107860408723,-0.000757107860408723,5784.4794921875,14.8660688400269,31.8963356018066,17,-35.6938133239746,0.0731102228164673,11.9447946548462,8.70764827728271,3519804.20770551,611887.686064514
127,57.6177597045898,613.877807617188,1.37478673458099,490,0.0457878522574902,0.0457878522574902,27305.35546875,12.2065553665161,4.01388454437256,8,-12.5925264358521,2.58530235290527,2.33730173110962,7.41088056564331,3515392.27969055,482257.099245989
128,183.908172607422,334.656066894531,7.57690668106079,591,0.000919025565963238,0.000919025565963238,7985.63671875,0,22.9115352630615,16,2.63996124267578,-1.15984690189362,8.17575168609619,3.67373824119568,3520636.65513399,644609.464227754
129,184.163024902344,833.682983398438,1.27351641654968,547,0.00200360827147961,0.00200360827147961,10253.7255859375,38.6005172729492,71.2342834472656,16,5.91759872436523,258.262054443359,80.0801086425781,-0.95434296131134,3569046.91150572,615130.920614069
130,312.288330078125,753.267456054688,15.6993141174316,278,-0.0114181647077203,-0.0114181647077203,648.999267578125,14.3178215026855,22.3605251312256,9,9.91829776763916,-3.96323537826538,8.17655277252197,2.9472324848175,3434652.31297438,476317.607469623
131,4.99826049804688,843.678039550781,10.2909345626831,278,-0.00661800149828196,-0.00661800149828196,9925.1044921875,17.0880069732666,32.4605903625488,5,8.94109058380127,-16.0488834381104,12.6738548278809,2.48451089859009,3422442.25119273,478433.479675797
132,252.299011230469,1016.72009277344,3.51801681518555,686,0.000318519363645464,0.000318519363645464,2038.67614746094,37.802116394043,28.2065505981445,5,-1.49727773666382,-4.77756977081299,10.8295650482178,8.19533538818359,3623532.61289129,576188.317271399
133,208.457122802734,212.205535888672,53.6947402954102,488,0.0019978485070169,0.0019978485070169,21136.697265625,5.65685415267944,8.95824146270752,9,47.2800407409668,-2.59574198722839,3.09501361846924,4.31748151779175,3420488.98936723,631981.199888237
134,65.6506195068359,839.054992675781,5.74712324142456,434,-0.0002419734664727,-0.0002419734664727,10084.5078125,2.2360680103302,13.4500894546509,5,-6.16170454025269,0.481260567903519,4.5903754234314,8.67459678649902,3523717.4511304,613790.136246963
135,359.128173828125,214.557281494141,10.6268453598022,686,-0.0130150113254786,-0.0130150113254786,4296.2890625,463.038879394531,4.85374927520752,10,50.5841484069824,-2.34720802307129,1.75503313541412,0.741676867008209,3689927.68091418,547775.346683221
136,207.243255615234,56.0648727416992,2.16937971115112,427,-0.012803940102458,-0.012803940102458,3892.72387695312,2,8.22814464569092,7,-12.7956991195679,2.63785123825073,3.17280530929565,7.7619776725769,3441468.81122901,647398.35817581
137,194.442672729492,526.855041503906,4.6122899055481,360,-0.00598012376576662,-0.00598012376576662,14204.8330078125,97.5089721679688,4.87560749053955,12,-12.1298294067383,-1.75560700893402,1.70045840740204,8.32478904724121,3479206.96203515,500177.598478593
138,165.432998657227,1151.63989257812,5.3499927520752,278,0.00282570812851191,0.00282570812851191,2220,64.5368118286133,27.6348209381104,8,-3.19477820396423,4.01349020004272,10.7998237609863,8.70699024200439,3428377.79690987,471499.371694759
139,33.8593139648438,176.089904785156,1.20212996006012,82,0.00043021806050092,0.00043021806050092,17266.166015625,80.7217407226562,0.816719830036163,17,6.09075212478638,0.49447301030159,0.490926444530487,-0.564616441726685,3716525.85332803,531410.395049659
140,236.072570800781,5.25575113296509,7.28651523590088,629,-0.00812670961022377,-0.00812670961022377,23935.28125,18.788293838501,5.4090051651001,7,23.5730152130127,-1.75935423374176,1.89276552200317,1.43570959568024,3558798.62631978,672362.813099705
141,182.968521118164,1115.76708984375,1.92704510688782,686,0.00905671063810587,0.00905671063810587,13436.4169921875,50.2493782043457,9.3148889541626,16,-4.61637163162231,3.59424161911011,3.82807302474976,8.28732681274414,3614351.62784678,592577.303707021
142,265.426177978516,972.467041015625,3.60945272445679,278,-0.00391887221485376,-0.00391887221485376,5500.48193359375,21.470911026001,29.187162399292,12,-3.59601068496704,0.688745439052582,10.7594203948975,8.16598701477051,3405253.02826908,517552.747851527
143,167.998626708984,1539.72265625,16.6482257843018,591,-0.00301575963385403,-0.00301575963385403,7020.57666015625,7,12.9182634353638,9,0.198644056916237,-0.631152987480164,4.46345567703247,7.10077810287476,3440410.96003878,611056.225545701
144,104.598945617676,610.756225585938,3.33988380432129,490,4.50047946287668E-06,4.50047946287668E-06,8620.2373046875,1,13.5373229980469,8,33.8906097412109,-5.76653718948364,4.87108850479126,1.1059809923172,3495757.96178994,492496.081205748
145,0.346468836069107,1107.025390625,2.12770056724548,785,0.0120976008474827,0.0120976008474827,6609.810546875,86.4060211181641,17.4832439422607,6,-7.13172006607056,5.93758583068848,6.63417100906372,7.80739212036133,3594639.16156405,546905.298017736
